N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
4,0.25,1,-1.0152982811250926,-0.687975993976516,-0.14170450557876127,-0.003671715750633799,0.4671535057386551,0.2084550964793941,0.2084719141281554
4,0.25,2,-1.0163261595507473,-0.689766170389706,-0.1412806503626079,-0.021094357126814036,0.4665905476108908,0.21121216102351587,0.21121195562924394
4,0.25,3,-1.0160605884613745,-0.6893927427248595,-0.1413318852813658,-0.018072239413178537,0.4666945929172618,0.21070517303909694,0.2107066176550237
4,0.30000000000000004,0,-1.0277724463923716,-0.7432507550199552,-0.17444155278726378,-0.02301443683646185,0.4508109320937628,0.28294046563874453,0.2829421381417929
4,0.30000000000000004,1,-1.027763976919816,-0.7432445348596806,-0.17444133704045164,-0.023007003628695885,0.450811019563765,0.2829421295546961,0.28294176440544416
4,0.30000000000000004,2,-1.027639243000417,-0.7431143644535765,-0.17445139341133442,-0.02237227703029599,0.45083429801968894,0.28284369137318155,0.2828422929851879
4,0.30000000000000004,3,-1.0277724267973276,-0.7432529478670307,-0.17444333594176017,-0.023031778014623982,0.45080915401239324,0.28294999651769137,0.2829497353893441
4,0.35000000000000003,0,-1.042304528406945,-0.8013378967574956,-0.21084444007708364,-0.02030900931576545,0.4306318142513078,0.3635614372826034,0.3635614083982195
4,0.35000000000000003,1,-1.0411036161783798,-0.8001887246078327,-0.21170794085511346,-0.01227110547637101,0.4305960113206668,0.36369579299127147,0.3636955070023085
4,0.35000000000000003,2,-1.0430120935813725,-0.8020245776756312,-0.21066077881672693,-0.023524836775756133,0.43057300856262715,0.3637822889366712,0.3637816479056617
4,0.35000000000000003,3,-1.0430936269117033,-0.8021063369355941,-0.21069447113002543,-0.02365004841794159,0.43055220277809875,0.36385961939687295,0.3638595513903578
4,0.4,0,-1.0623917878560039,-0.8666404441697416,-0.2516500127640987,-0.022647776497619967,0.40388968187921725,0.45654232782022863,0.4565429044467416
4,0.4,1,-1.0623840482095446,-0.8666316401394729,-0.2516571367673388,-0.022576882754887506,0.40389007389376125,0.4565413755609443,0.4565416369122388
4,0.4,2,-1.0623772920785712,-0.8666309511406934,-0.2516604198734659,-0.022602553608641718,0.4038852853125515,0.45655895297349436,0.4565571200707785
4,0.4,3,-1.0624027939875296,-0.8666432674182495,-0.2516394478007115,-0.02264975711080422,0.40389729779429684,0.45651727583976986,0.4565182787908406
4,0.45,0,-1.085511607228892,-0.9373717807262382,-0.2998385942593176,-0.019755164918478813,0.3669998251191621,0.5656092812710664,0.5656091388705816
4,0.45,1,-1.0855333937465865,-0.9374583090075469,-0.29997663814313275,-0.019779420812332343,0.36689897368814167,0.5658816887265771,0.5658818383971527
4,0.45,2,-1.0854845375156696,-0.9374139064783744,-0.2999891798533439,-0.01962598739503799,0.3668979651502723,0.565884379350574,0.5658845648135009
4,0.45,3,-1.0855000218891437,-0.9374390857462593,-0.3000099670241044,-0.019662991916145386,0.3668811770995094,0.5659300747751812,0.5659299466859165
4,0.5,0,-1.1123660203346257,-1.0155213646314365,-0.3595939215164095,-0.014498886222624706,0.3111996330703373,0.6989549894978602,0.6989551642582128
4,0.5,1,-1.11231149822352,-1.0155501951933752,-0.35971123467138777,-0.014609541900416098,0.3110649563586751,0.6992386552343945,0.6992383302906471
