step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
1600,48.0,-0.779940817525512,-0.7573344759201519,0.34205344838444623,-0.19409388769330804,0.6274183116385056
1620,48.6,-0.7801854922630503,-0.7575655069008026,0.3420871473489575,-0.19410020838130407,0.62729183649426
1640,49.199999999999996,-0.7804589473439829,-0.7577864755806787,0.3422653879389795,-0.19396917667243727,0.6269376439874074
1660,49.8,-0.7807553635086646,-0.7579954491217064,0.3425744886766445,-0.19371435990662192,0.6263728276327157
1680,50.4,-0.7810646572057145,-0.7581910094141507,0.3429837714221646,-0.19336597166380146,0.6256443177436934
1700,51.0,-0.7813742695904217,-0.7583724625676458,0.3434503595151357,-0.19296526905740352,0.6248214377749245
1720,51.6,-0.7816712140833018,-0.7585399263163008,0.3439257125068442,-0.19255774679287083,0.6239846785024863
1740,52.199999999999996,-0.7819441102759118,-0.7586942966256556,0.34436321065902337,-0.19218605203911188,0.6232116427593829
1760,52.8,-0.7821848638347281,-0.7588371066697112,0.34472537285068233,-0.19188376664027082,0.6225631705700255
1780,53.4,-0.7823896791337085,-0.7589703043776499,0.3449890635231127,-0.1916711580296148,0.6220736277916666
1800,54.0,-0.7825592412152839,-0.7590959866435715,0.3451475886711159,-0.19155356931126152,0.6217481284810722
1820,54.6,-0.7826981203810139,-0.7592161342055268,0.34520961763078023,-0.19152244488430314,0.6215666620056207
1840,55.199999999999996,-0.7828136353331203,-0.7593323879905116,0.34519579803266603,-0.19155837713882243,0.6214924898873563
1860,55.8,-0.7829144841382155,-0.759445896443012,0.3451342922353778,-0.19163526195727232,0.6214812850633026
1880,56.4,-0.7830094116863369,-0.7595572481742573,0.3450562232376466,-0.1917247043722087,0.6214884984318826
1900,57.0,-0.7831060830533874,-0.7596664895428373,0.34499151836480446,-0.19180006665675556,0.6214743000317501
1920,57.599999999999994,-0.7832102416514278,-0.7597732150135784,0.34496528796966525,-0.1918397977583355,0.6214068149178855
1940,58.199999999999996,-0.7833251846514879,-0.7598767099457765,0.34499485677364033,-0.19182981657503848,0.621264581359405
1960,58.8,-0.7834515771955685,-0.7599761206520491,0.3450877565292851,-0.19176476678168278,0.6210384714817058
1980,59.4,-0.783587618594066,-0.7600706251264029,0.34524111367923943,-0.19164801447529936,0.620732530660196
2000,60.0,-0.7837295421270247,-0.7601595799812381,0.34544272347280264,-0.1914903947142168,0.6203629760249262
2020,60.599999999999994,-0.7838723749910398,-0.7602426247378503,0.34567370706391504,-0.1913079215215354,0.6199550685723416
2040,61.199999999999996,-0.7840108288096561,-0.7603197327550516,0.3459121974107446,-0.19111888207544572,0.6195383684777399
2060,61.8,-0.7841401614736008,-0.7603912071472007,0.34613722200141006,-0.1909408515289923,0.6191414901938771
2080,62.4,-0.7842568628916111,-0.76045762833437,0.34633196332813504,-0.1907881440442543,0.6187875861678612
2100,63.0,-0.7843590660071174,-0.7605197661340752,0.3464858429749839,-0.19067007323810767,0.6184914263596458
2120,63.599999999999994,-0.7844466510916885,-0.7605784729303512,0.3465952497254763,-0.19059019021351772,0.6182583560790983
2140,64.2,-0.7845210733599197,-0.7606345753357204,0.34666306242493733,-0.19054646788118745,0.6180848959621882
2160,64.8,-0.784584985578724,-0.7606887801131113,0.34669731083535194,-0.19053225439740873,0.61796047075823
2180,65.39999999999999,-0.7846417440287872,-0.7607416064047898,0.3467093613022226,-0.19053774224413142,0.6178697325003862
2200,66.0,-0.7846948829490648,-0.7607933512128987,0.34671195851289455,-0.19055168225647645,0.6177950758793495
2220,66.6,-0.7847476286731373,-0.760844089471381,0.34671736834163286,-0.19056309162292343,0.6177190943405805
2240,67.2,-0.7848025078817948,-0.7608937048680753,0.34673579852121117,-0.1905627422421942,0.6176268034872652
2260,67.8,-0.7848610881467856,-0.7609419435850765,0.3467742350482248,-0.19054426192619622,0.6175074525462905
2280,68.39999999999999,-0.7849238725386015,-0.7609884807759901,0.3468358032640932,-0.1905047362765184,0.6173557114017886
2300,69.0,-0.7849903515153593,-0.7610329889924791,0.34691971551859496,-0.19044476652170347,0.6171720368591268
2320,69.6,-0.7850591943679643,-0.7610751987355837,0.3470217894747103,-0.19036801579159926,0.6169621308501975
2340,70.2,-0.7851285421001939,-0.7611149434974055,0.3471354254798464,-0.19028035220487194,0.6167355862928016
2360,70.8,-0.7851963488206402,-0.761152184647464,0.34725284940321943,-0.19018875518144862,0.616504003197454
2380,71.39999999999999,-0.785260714032995,-0.7611870148366149,0.3473663897401677,-0.19010017690117145,0.6162789692254823
2400,72.0,-0.7853201551196416,-0.7612196417653952,0.3474695772287116,-0.1900205382449108,0.6160702920170658
2420,72.6,-0.7853737854484519,-0.7612503567617457,0.3475579203636408,-0.1899539940142484,0.615884758518239
2440,73.2,-0.7854213838496878,-0.7612794943103913,0.34762929377464297,-0.18990254038846865,0.6157255356840999
2460,73.8,-0.7854633603271626,-0.7613073893091175,0.3476839505789327,-0.18986597491810983,0.6155921818963108
2480,74.39999999999999,-0.7855006371346105,-0.7613343384139086,0.34772421870886633,-0.1898421679695376,0.6154811489333215
2500,75.0,-0.785534472626821,-0.761360570553569,0.3477539646083569,-0.18982756951968216,0.6153866229281902
2520,75.6,-0.7855662583629908,-0.7613862298313717,0.3477779152653376,-0.18981785602439213,0.6153015559470548
2540,76.2,-0.785597319219274,-0.7614113719197153,0.34780093141874974,-0.1898086160191366,0.6152187507379302
2560,76.8,-0.7856287427974809,-0.7614359730191819,0.3478273246628207,-0.1897959780642161,0.6151318674495162
2580,77.39999999999999,-0.7856612585958098,-0.7614599487716588,0.34786030569739146,-0.18977709984593996,0.6150362281994542
2600,78.0,-0.7856951794239749,-0.7614831793853468,0.34790163424213566,-0.18975046199988752,0.614929316958904
2620,78.6,-0.7857304079949068,-0.7615055367483341,0.3479515105949353,-0.18971594221181332,0.6148109166039641
2640,79.2,-0.785766501801141,-0.7615269094767687,0.3480087084597174,-0.18967467972032467,0.6146828872115782
2660,79.8,-0.7858027810347075,-0.7615472225713199,0.34807090786205147,-0.1896287713695376,0.6145486534321488
2680,80.39999999999999,-0.7858384590372911,-0.7615664494792732,0.348135156158478,-0.1895808621593171,0.6144125152200329
2700,81.0,-0.7858727734364439,-0.761584615677448,0.3481983712714169,-0.18953370243339304,0.6142789134336302
2720,81.6,-0.7859050985921057,-0.7616017941947476,0.34825780541136964,-0.1894897402165827,0.6141517694265918
2740,82.2,-0.7859350252519607,-0.7616180945980857,0.3483114055136624,-0.1894508033259965,0.6140339850169697
2760,82.8,-0.7859623999842598,-0.7616336477345805,0.3483580317146706,-0.1894179058347226,0.6139271491374871
2780,83.39999999999999,-0.785987323669009,-0.7616485888813734,0.34839752114022776,-0.18939119149673037,0.6138314606553632
2800,84.0,-0.7860101140906809,-0.7616630418940996,0.3484306069710928,-0.18937000627337555,0.6137458484070084
2820,84.6,-0.786031241927613,-0.7616771065194713,0.3484587203816572,-0.18935307544168958,0.6136682495753583
2840,85.2,-0.7860512519486428,-0.7616908503475528,0.3484837150595021,-0.18933874926584351,0.6135959941897821
2860,85.8,-0.7860706819750787,-0.7617043060536258,0.3485075604264097,-0.18932527556598422,0.6135262355075276
2880,86.39999999999999,-0.7860899912310557,-0.7617174737519817,0.34853205004957405,-0.1893110578964101,0.6134563639414361
2900,87.0,-0.7861095072948495,-0.7617303275734487,0.3485585658439924,-0.1892948640483495,0.6133843476367203
2920,87.6,-0.786129397350041,-0.7617428250735242,0.34858792710178815,-0.18927596012545866,0.6133089565494031
2940,88.2,-0.7861496653657448,-0.7617549178276122,0.34862033793322683,-0.1892541587139722,0.6132298474651839
2960,88.8,-0.7861701728653903,-0.7617665615813534,0.3486554301952222,-0.18922978344702476,0.6131475109925358
2980,89.39999999999999,-0.7861906777064633,-0.7617777245666436,0.34869238454092605,-0.18920356430226595,0.6130631032208878
2999,89.97,-0.786209884817378,-0.7617878713135615,0.34872821673491233,-0.18917784421040681,0.6129824304787647
3000,90.0,-0.7862108832537578,-0.7617883930076434,0.3487301023431237,-0.18917648650995286,0.6129782001779441
